Datetime,Pulse count
2024-08-23 13:15:42,0
2024-08-23 13:15:43,0
2024-08-23 13:15:44,0
2024-08-23 13:15:45,0
2024-08-23 13:15:46,0
2024-08-23 13:15:47,0
2024-08-23 13:15:48,0
2024-08-23 13:15:49,0
2024-08-23 13:15:50,0
2024-08-23 13:15:51,0
2024-08-23 13:15:52,0
2024-08-23 13:15:53,0
2024-08-23 13:15:54,0
2024-08-23 13:15:55,0
2024-08-23 13:15:56,0
2024-08-23 13:15:57,0
2024-08-23 13:15:58,0
2024-08-23 13:15:59,0
2024-08-23 13:16:00,0
2024-08-23 13:16:01,0
2024-08-23 13:16:02,0
2024-08-23 13:16:03,0
2024-08-23 13:16:04,0
2024-08-23 13:16:05,0
2024-08-23 13:16:06,0
2024-08-23 13:16:07,0
2024-08-23 13:16:08,0
2024-08-23 13:16:09,0
2024-08-23 13:16:10,0
2024-08-23 13:16:11,0
2024-08-23 13:16:12,0
2024-08-23 13:16:13,0
2024-08-23 13:16:14,0
2024-08-23 13:16:15,0
2024-08-23 13:16:16,0
2024-08-23 13:16:17,0
2024-08-23 13:16:18,0
2024-08-23 13:16:19,0
2024-08-23 13:16:20,0
2024-08-23 13:16:21,0
2024-08-23 13:16:22,0
2024-08-23 13:16:23,0
2024-08-23 13:16:24,0
2024-08-23 13:16:25,0
2024-08-23 13:16:26,0
2024-08-23 13:16:27,0
2024-08-23 13:16:28,0
2024-08-23 13:16:29,0
2024-08-23 13:16:30,0
2024-08-23 13:16:31,0
2024-08-23 13:16:32,0
2024-08-23 13:16:33,0
2024-08-23 13:16:34,0
2024-08-23 13:16:35,0
2024-08-23 13:16:36,0
2024-08-23 13:16:37,0
2024-08-23 13:16:38,0
2024-08-23 13:16:39,0
2024-08-23 13:16:40,0
2024-08-23 13:16:41,0
2024-08-23 13:16:42,0
2024-08-23 13:16:43,0
2024-08-23 13:16:44,0
2024-08-23 13:16:45,0
2024-08-23 13:16:46,0
2024-08-23 13:16:47,0
2024-08-23 13:16:48,0
2024-08-23 13:16:49,0
2024-08-23 13:16:50,0
2024-08-23 13:16:51,0
2024-08-23 13:16:52,0
2024-08-23 13:16:53,0
2024-08-23 13:16:54,0
2024-08-23 13:16:55,0
2024-08-23 13:16:56,0
2024-08-23 13:16:57,0
2024-08-23 13:16:58,0
2024-08-23 13:16:59,0
2024-08-23 13:17:00,0
2024-08-23 13:17:01,0
2024-08-23 13:17:02,0
2024-08-23 13:17:03,0
2024-08-23 13:17:04,0
2024-08-23 13:17:05,0
2024-08-23 13:17:06,0
2024-08-23 13:17:07,0
2024-08-23 13:17:08,0
2024-08-23 13:17:09,0
2024-08-23 13:17:10,0
2024-08-23 13:17:11,0
2024-08-23 13:17:12,0
2024-08-23 13:17:13,0
2024-08-23 13:17:14,0
2024-08-23 13:17:15,0
2024-08-23 13:17:16,0
2024-08-23 13:17:17,0
2024-08-23 13:17:18,0
2024-08-23 13:17:19,0
2024-08-23 13:17:20,0
2024-08-23 13:17:21,0
2024-08-23 13:17:22,0
2024-08-23 13:17:23,0
2024-08-23 13:17:24,0
2024-08-23 13:17:25,0
2024-08-23 13:17:26,0
2024-08-23 13:17:27,0
2024-08-23 13:17:28,0
2024-08-23 13:17:29,0
2024-08-23 13:17:30,0
2024-08-23 13:17:31,0
2024-08-23 13:17:32,0
2024-08-23 13:17:33,0
2024-08-23 13:17:34,0
2024-08-23 13:17:35,0
2024-08-23 13:17:36,0
2024-08-23 13:17:37,0
2024-08-23 13:17:38,0
2024-08-23 13:17:39,0
2024-08-23 13:17:40,0
2024-08-23 13:17:41,0
2024-08-23 13:17:42,0
2024-08-23 13:17:43,0
2024-08-23 13:17:44,0
2024-08-23 13:17:45,0
2024-08-23 13:17:46,0
2024-08-23 13:17:47,0
2024-08-23 13:17:48,0
2024-08-23 13:17:49,0
2024-08-23 13:17:50,0
2024-08-23 13:17:51,0
2024-08-23 13:17:52,0
2024-08-23 13:17:53,0
2024-08-23 13:17:54,0
2024-08-23 13:17:55,0
2024-08-23 13:17:56,0
2024-08-23 13:17:57,0
2024-08-23 13:17:58,0
2024-08-23 13:17:59,0
2024-08-23 13:18:00,0
2024-08-23 13:18:01,0
2024-08-23 13:18:02,0
2024-08-23 13:18:03,0
2024-08-23 13:18:04,0
